Estado;Município;Total pessoas > 10 anos;Economicamente ativas;Ocupadas;Desocupadas;Não economicamente ativas;Total pessoas 10 a 13 anos;Economicamente ativas.1;Ocupadas.1;Desocupadas.1;Não economicamente ativas.1;Total pessoas > 14 anos;Economicamente ativas.2;Ocupadas.2;Desocupadas.2;Não economicamente ativas.2;Código da Unidade Geográfica
Rondônia;Ariquemes;74725;45162;42986;2175;29563;7255;488;450;38;6767;67470;44674;42537;2137;22797;1100023.0
Rondônia;Área 001;14216;8985;8688;297;5231;1134;42;33;9;1092;13082;8943;8655;288;4139;1100023003001.0
Rondônia;Área 002;14049;8194;7966;227;5856;1439;138;138;0;1300;12611;8055;7828;227;4555;1100023003002.0
Rondônia;Área 003;22833;13602;12959;642;9231;2454;207;179;29;2247;20379;13394;12781;614;6985;1100023003003.0
Rondônia;Área 004;23627;14382;13373;1008;9245;2228;100;100;0;2128;21398;14281;13273;1008;7117;1100023003004.0
Rondônia;Buritis;26103;16916;16005;910;9187;2674;537;530;7;2137;23429;16379;15475;903;7050;1100452.0
Rondônia;Área 001;14644;9288;8578;710;5356;1458;151;144;7;1307;13186;9137;8434;703;4049;1100452003001.0
Rondônia;Área 002;11459;7628;7428;200;3831;1216;386;386;0;830;10243;7242;7042;200;3001;1100452003002.0
Rondônia;Cacoal;66376;39977;37566;2411;26398;5829;592;527;65;5237;60547;39385;37039;2347;21162;1100049.0
Rondônia;Área 001;12053;6229;6059;170;5824;1191;240;219;21;952;10861;5989;5841;149;4872;1100049003001.0
Rondônia;Área 002;16957;9698;9069;629;7259;1621;172;149;22;1450;15335;9526;8920;606;5809;1100049003002.0
Rondônia;Área 003;17864;11317;10425;892;6547;1357;76;64;11;1282;16507;11241;10361;881;5265;1100049003003.0
Rondônia;Área 004;19503;12733;12013;721;6769;1659;105;95;10;1554;17844;12628;11917;711;5216;1100049003004.0
Rondônia;Guajará-Mirim;33017;16843;15698;1146;16174;3655;150;142;8;3505;29362;16693;15556;1137;12669;1100106.0
