Estado;Município;Total Residente;Residente Brasileira;Brasileira Nata;Brasileira por naturalização;Residente Estrangeira;Código da Unidade Geográfica
Rondônia;Ariquemes;90353;90240;90140;101;113;1100023.0
Rondônia;Área 001;16632;16567;16552;14;65;1100023003001.0
Rondônia;Área 002;17183;17167;17151;17;16;1100023003002.0
Rondônia;Área 003;28009;27996;27987;9;13;1100023003003.0
Rondônia;Área 004;28529;28510;28449;61;19;1100023003004.0
Rondônia;Buritis;32383;32341;32299;41;42;1100452.0
Rondônia;Área 001;18149;18138;18112;26;11;1100452003001.0
Rondônia;Área 002;14234;14202;14187;15;32;1100452003002.0
Rondônia;Cacoal;78574;78536;78461;75;38;1100049.0
Rondônia;Área 001;14571;14571;14558;13;0;1100049003001.0
Rondônia;Área 002;20356;20336;20311;25;20;1100049003002.0
Rondônia;Área 003;20650;20631;20595;36;19;1100049003003.0
Rondônia;Área 004;22997;22997;22997;0;0;1100049003004.0
Rondônia;Guajará-Mirim;41656;40709;40318;391;947;1100106.0
Rondônia;Área 001;15864;15519;15288;231;345;1100106003001.0
Rondônia;Área 002;25792;25190;25030;160;602;1100106003002.0
Rondônia;Jaru;52005;51978;51894;84;27;1100114.0
Rondônia;Área 001;20600;20587;20554;33;13;1100114003001.0
Rondônia;Área 002;31405;31391;31341;50;14;1100114003002.0
Rondônia;Ji-Paraná;116610;116507;116373;134;103;1100122.0
Rondônia;Área 001;12900;12882;12846;36;18;1100122003001.0
Rondônia;Área 002;15049;15040;15028;12;9;1100122003002.0
Rondônia;Área 003;15781;15769;15769;0;12;1100122003003.0
Rondônia;Área 004;16325;16324;16316;8;1;1100122003004.0
Rondônia;Área 005;25097;25090;25090;0;7;1100122003005.0
Rondônia;Área 006;31458;31402;31324;78;56;1100122003006.0
Rondônia;Machadinho D'Oeste;31135;31135;31125;10;0;1100130.0
Rondônia;Área 001;16339;16339;16339;0;0;1100130003001.0
Rondônia;Área 002;14796;14796;14786;10;0;1100130003002.0
Rondônia;Ouro Preto do Oeste;37928;37928;37805;123;0;1100155.0
Rondônia;Área 001;14341;14341;14258;83;0;1100155003001.0
Rondônia;Área 002;23587;23587;23547;40;0;1100155003002.0
Rondônia;Pimenta Bueno;33822;33806;33796;10;16;1100189.0
Rondônia;Área 001;14986;14970;14970;0;16;1100189003001.0
Rondônia;Área 002;18836;18836;18826;10;0;1100189003002.0
Rondônia;Porto Velho;428527;427841;427356;485;686;1100205.0
Rondônia;Área 001;16134;16104;16076;28;30;1100205004001.0
Rondônia;Área 002;16030;15967;15955;12;63;1100205004002.0
Rondônia;Área 003;19242;19230;19200;30;12;1100205004003.0
Rondônia;Área 004;17788;17778;17778;0;10;1100205004004.0
Rondônia;Área 005;18384;18331;18324;7;53;1100205004005.0
Rondônia;Área 006;16951;16930;16914;17;21;1100205004006.0
Rondônia;Área 007;16490;16485;16474;10;5;1100205004007.0
Rondônia;Área 008;18202;18188;18188;0;14;1100205004008.0
Rondônia;Área 009;15174;15174;15174;0;0;1100205004009.0
Rondônia;Área 010;16009;15993;15975;18;16;1100205004010.0
Rondônia;Área 011;18434;18408;18408;0;26;1100205004011.0
Rondônia;Área 012;22773;22773;22724;49;0;1100205004012.0
Rondônia;Área 013;16576;16537;16526;11;39;1100205004013.0
Rondônia;Área 014;23238;23202;23161;42;36;1100205004014.0
Rondônia;Área 015;18568;18549;18523;27;19;1100205004015.0
Rondônia;Área 016;14150;14122;14088;34;28;1100205004016.0
Rondônia;Área 017;14246;14213;14113;100;33;1100205004017.0
Rondônia;Área 018;28029;27919;27881;38;110;1100205004018.0
Rondônia;Área 019;15221;15133;15092;41;88;1100205004019.0
Rondônia;Área 020;20650;20623;20623;0;27;1100205004020.0
Rondônia;Área 021;31278;31278;31278;0;0;1100205004021.0
Rondônia;Área 022;34960;34904;34883;21;56;1100205004022.0
Rondônia;Rolim de Moura;50648;50614;50537;77;34;1100288.0
Rondônia;Área 001;21328;21294;21264;30;34;1100288003001.0
Rondônia;Área 002;29320;29320;29273;47;0;1100288003002.0
Rondônia;Vilhena;76202;76063;76025;38;139;1100304.0
Rondônia;Área 001;14634;14609;14609;0;25;1100304003001.0
Rondônia;Área 002;25983;25958;25943;15;25;1100304003002.0
Rondônia;Área 003;35585;35496;35473;23;89;1100304003003.0
Acre;Cruzeiro do Sul;78507;78470;78412;58;37;1200203.0
Acre;Área 001;17975;17966;17960;6;9;1200203003001.0
Acre;Área 002;28113;28084;28042;42;29;1200203003002.0
Acre;Área 003;32419;32419;32410;9;0;1200203003003.0
Acre;Rio Branco;336038;335634;335383;251;404;1200401.0
Acre;Área 001;25962;25872;25860;12;90;1200401005001.0
Acre;Área 002;37824;37709;37666;44;115;1200401005002.0
Acre;Área 003;57867;57796;57776;21;71;1200401005003.0
Acre;Área 004;55506;55475;55421;54;31;1200401005004.0
Acre;Área 005;46397;46348;46319;29;49;1200401005005.0
Acre;Área 006;44803;44792;44781;11;11;1200401005006.0
Acre;Área 007;40186;40158;40114;44;28;1200401005007.0
Acre;Área 008;27493;27483;27446;37;10;1200401005008.0
Amazonas;Coari;75965;75840;75804;35;125;1301209.0
Amazonas;Área 001;39911;39911;39911;0;0;1301209003001.0
Amazonas;Área 002;36054;35929;35893;35;125;1301209003002.0
Amazonas;Humaitá;44227;44200;44200;0;27;1301704.0
Amazonas;Área 001;19313;19286;19286;0;27;1301704003001.0
Amazonas;Área 002;24914;24914;24914;0;0;1301704003002.0
Amazonas;Iranduba;40781;40743;40692;52;38;1301852.0
Amazonas;Área 001;18128;18117;18084;33;11;1301852003001.0
Amazonas;Área 002;22653;22626;22607;19;27;1301852003002.0
Amazonas;Itacoatiara;86839;86779;86737;41;60;1301902.0
Amazonas;Área 001;17881;17881;17881;0;0;1301902003001.0
Amazonas;Área 002;34388;34368;34356;12;20;1301902003002.0
Amazonas;Área 003;34570;34530;34500;30;40;1301902003003.0
Amazonas;Manacapuru;85141;85052;85042;10;89;1302504.0
Amazonas;Área 001;19607;19587;19587;0;20;1302504003001.0
Amazonas;Área 002;33775;33767;33767;0;8;1302504003002.0
Amazonas;Área 003;31759;31698;31688;10;61;1302504003003.0
Amazonas;Manaus;1802014;1798773;1797361;1413;3241;1302603.0
Amazonas;Aleixo-Adrianópolis-Nossa Senhora das Graças;44618;44238;43905;333;380;1302603005008.0
Amazonas;Alvorada;64621;64504;64492;12;117;1302603005005.0
Amazonas;Armando Mendes-Zumbi dos Palmares;63447;63428;63411;17;19;1302603005009.0
Amazonas;Betânia-Crespo-São Lázaro-Vila Buriti;40158;40115;40115;0;43;1302603005020.0
Amazonas;Cachoeirinha-Praça 14 de Janeiro-Raiz;41320;41267;41229;38;53;1302603005010.0
Amazonas;Centro-Nossa Senhora Aparecida;38654;38328;38208;120;326;1302603005011.0
Amazonas;Cidade de Deus;70142;69968;69968;0;174;1302603005006.0
Amazonas;Cidade Nova;121135;120972;120972;0;163;1302603005007.0
Amazonas;Colônia Oliveira Machado-Educandos-Santa Luzia, Morro da Liberdade;42775;42775;42775;0;0;1302603005003.0
Amazonas;Colônia Santo Antônio-Novo Israel;34461;34447;34235;213;14;1302603005024.0
Amazonas;Colônia Terra Nova;45076;45054;45008;46;22;1302603005025.0
Amazonas;Compensa;75832;75781;75723;59;51;1302603005004.0
Amazonas;Coroado;51354;51299;51282;17;55;1302603005019.0
Amazonas;Distrito Industrial I-Distrito Industrial Ii-Puraquequara-Colônia Antônio Aleixo-Mauazinho;52625;52625;52625;0;0;1302603005002.0
Amazonas;Dom Pedro I-São Geraldo-Chapada;35851;35720;35635;86;131;1302603005012.0
Amazonas;Flores;48098;47891;47865;26;207;1302603005021.0
Amazonas;Gilberto Mestrinho;55347;55325;55325;0;22;1302603005032.0
Amazonas;Glória-Santo Antônio-São Raimundo-Presidente-Vargas;53602;53539;53539;0;63;1302603005013.0
Amazonas;Japiim;53370;53232;53187;45;138;1302603005018.0
Amazonas;Jorge Teixeira;112879;112870;112848;22;9;1302603005029.0
Amazonas;Lago Azul-Santa Etelvina;33892;33839;33839;0;53;1302603005001.0
Amazonas;Lírio do Vale-Planalto-Ponta Negra;42824;42505;42372;133;319;1302603005015.0
Amazonas;Monte das Oliveiras;40162;40162;40135;27;0;1302603005023.0
Amazonas;Nova Cidade;59576;59551;59551;0;25;1302603005031.0
Amazonas;Nova Esperança-Santo Agostinho;34289;34289;34270;19;0;1302603005014.0
Amazonas;Novo Aleixo;96611;96553;96532;21;58;1302603005030.0
Amazonas;Parque 10 de Novembro;41256;40845;40717;128;411;1302603005022.0
Amazonas;Redenção-Da Paz;50359;50264;50264;0;95;1302603005016.0
Amazonas;São Francisco-Petrópolis;58034;57821;57821;0;213;1302603005017.0
Amazonas;São Jorge-Vila da Prata;32684;32684;32684;0;0;1302603005033.0
Amazonas;São José Operário;66625;66594;66594;0;31;1302603005027.0
Amazonas;Tancredo Neves;48377;48352;48352;0;25;1302603005028.0
Amazonas;Tarumã-Tarumã-Açu-Manaus (demais Setores);51960;51936;51884;52;24;1302603005026.0
Amazonas;Manicoré;47017;47017;47008;9;0;1302702.0
Amazonas;Área 001;22495;22495;22495;0;0;1302702003001.0
Amazonas;Área 002;24522;24522;24513;9;0;1302702003002.0
Amazonas;Parintins;102033;102009;101974;35;24;1303403.0
Amazonas;Área 001;20303;20291;20291;0;12;1303403003001.0
Amazonas;Área 002;38011;38000;37981;19;11;1303403003002.0
Amazonas;Área 003;43719;43719;43702;17;0;1303403003003.0
Amazonas;Tefé;61453;61386;61321;65;67;1304203.0
Amazonas;Área 001;20713;20705;20705;0;8;1304203003001.0
Amazonas;Área 002;40740;40681;40616;65;59;1304203003002.0
Roraima;Boa Vista;284313;283523;282522;1001;790;1400100.0
Roraima;Área 001;17764;17718;17694;24;46;1400100005001.0
Roraima;Área 002;23518;23500;23465;35;18;1400100005002.0
Roraima;Área 003;26843;26812;26727;85;31;1400100005003.0
Roraima;Área 004;18689;18657;18549;108;32;1400100005004.0
Roraima;Área 005;22543;22461;22423;38;82;1400100005005.0
Roraima;Área 006;16356;16298;16241;57;58;1400100005006.0
Roraima;Área 007;24961;24900;24842;58;61;1400100005007.0
Roraima;Área 008;17400;17390;17348;42;10;1400100005008.0
Roraima;Área 009;22572;22529;22428;101;43;1400100005009.0
Roraima;Área 010;20906;20898;20780;118;8;1400100005010.0
Roraima;Área 011;14093;14044;14010;34;49;1400100005011.0
Roraima;Área 012;22951;22891;22829;63;60;1400100005012.0
Roraima;Área 013;18241;18095;17998;98;146;1400100005013.0
Roraima;Área 014;17476;17329;17189;140;147;1400100005014.0
Pará;Abaetetuba;141100;141040;141030;10;60;1500107.0
Pará;Área 001;21991;21981;21971;10;10;1500107003001.0
Pará;Área 002;19363;19363;19363;0;0;1500107003002.0
Pará;Área 003;29673;29673;29673;0;0;1500107003003.0
Pará;Área 004;35649;35625;35625;0;24;1500107003004.0
Pará;Área 005;34424;34398;34398;0;26;1500107003005.0
Pará;Acará;53569;53516;53516;0;53;1500206.0
Pará;Área 001;19513;19486;19486;0;27;1500206003001.0
Pará;Área 002;34056;34030;34030;0;26;1500206003002.0
Pará;Alenquer;52626;52615;52615;0;11;1500404.0
