Estado;Município;Total pessoas > 10 anos;Até 1 SM;De 1 a 2 SM;De 2 a 3 SM;De 3 a 5 SM;De 5 a 10 SM;De 10 a 20 SM;Mais de 20 SM;Sem rendimento;Código da Unidade Geográfica
Rondônia;Ariquemes;74725;19934;17050;5436;4066;2656;604;377;24602;1100023.0
Rondônia;Área 001;14216;2333;2947;1565;1436;1020;316;152;4447;1100023003001.0
Rondônia;Área 002;14049;3872;3192;878;560;416;55;103;4973;1100023003002.0
Rondônia;Área 003;22833;7264;5284;1164;888;381;92;24;7736;1100023003003.0
Rondônia;Área 004;23627;6466;5626;1829;1182;838;141;98;7446;1100023003004.0
Rondônia;Buritis;26103;8904;5339;1445;859;512;163;32;8849;1100452.0
Rondônia;Área 001;14644;4776;3069;916;555;353;138;32;4806;1100452003001.0
Rondônia;Área 002;11459;4128;2270;529;304;160;24;0;4043;1100452003002.0
Rondônia;Cacoal;66376;18968;13879;4662;3676;2295;677;326;21893;1100049.0
Rondônia;Área 001;12053;4069;1483;486;214;155;61;0;5584;1100049003001.0
Rondônia;Área 002;16957;5418;3816;915;622;399;44;17;5726;1100049003002.0
Rondônia;Área 003;17864;4142;3839;1695;1525;958;356;133;5217;1100049003003.0
Rondônia;Área 004;19503;5339;4740;1566;1315;783;216;176;5367;1100049003004.0
Rondônia;Guajará-Mirim;33017;9755;5616;1576;1577;1079;239;58;13118;1100106.0
Rondônia;Área 001;13024;3540;2319;657;921;753;136;25;4673;1100106003001.0
Rondônia;Área 002;19993;6214;3297;919;656;326;103;33;8446;1100106003002.0
Rondônia;Jaru;43210;13158;8745;2741;2153;1415;291;83;14624;1100114.0
Rondônia;Área 001;17152;5839;2927;911;708;456;91;39;6181;1100114003001.0
Rondônia;Área 002;26058;7318;5818;1830;1446;959;200;45;8443;1100114003002.0
Rondônia;Ji-Paraná;97571;25578;22446;7244;5941;3639;1133;448;31143;1100122.0
Rondônia;Área 001;10942;2715;2248;888;819;627;246;110;3290;1100122003001.0
Rondônia;Área 002;12624;3290;2956;924;984;549;127;66;3728;1100122003002.0
Rondônia;Área 003;13094;3151;3033;1152;759;388;137;50;4424;1100122003003.0
Rondônia;Área 004;13398;4047;3271;925;555;252;74;29;4245;1100122003004.0
Rondônia;Área 005;20742;6222;4641;1210;804;378;70;28;7389;1100122003005.0
Rondônia;Área 006;26771;6154;6297;2144;2020;1445;480;164;8067;1100122003006.0
Rondônia;Machadinho D'Oeste;25126;8383;4043;1375;895;400;114;37;9879;1100130.0
Rondônia;Área 001;13169;4181;2652;901;651;296;86;17;4386;1100130003001.0
Rondônia;Área 002;11957;4202;1391;475;244;104;28;20;5493;1100130003002.0
Rondônia;Ouro Preto do Oeste;31910;10258;6666;2021;1468;1019;236;92;10151;1100155.0
Rondônia;Área 001;11970;3824;2341;790;573;401;78;40;3922;1100155003001.0
Rondônia;Área 002;19940;6433;4324;1232;895;617;158;52;6229;1100155003002.0
Rondônia;Pimenta Bueno;28322;8281;6991;2146;1387;868;322;185;8143;1100189.0
Rondônia;Área 001;12777;3267;3237;1241;890;479;194;78;3391;1100189003001.0
Rondônia;Área 002;15546;5014;3753;905;497;389;128;107;4752;1100189003002.0
Rondônia;Porto Velho;356826;68777;76824;32405;25654;20218;6816;3077;123055;1100205.0
Rondônia;Área 001;13125;3364;3362;1282;540;329;76;0;4172;1100205004001.0
Rondônia;Área 002;12340;3913;2326;787;686;394;77;57;4100;1100205004002.0
Rondônia;Área 003;16401;3672;4036;1568;958;740;332;91;5005;1100205004003.0
Rondônia;Área 004;14620;2641;2992;1772;1111;817;142;66;5079;1100205004004.0
Rondônia;Área 005;14998;3311;3608;1107;873;583;83;47;5386;1100205004005.0
Rondônia;Área 006;13672;2853;3604;1163;924;451;80;0;4598;1100205004006.0
Rondônia;Área 007;14154;1981;2667;1464;1582;1469;359;208;4424;1100205004007.0
Rondônia;Área 008;14704;3450;3389;1225;744;374;55;18;5450;1100205004008.0
Rondônia;Área 009;12969;2007;2528;1616;1323;983;313;168;4031;1100205004009.0
Rondônia;Área 010;13735;1815;2324;1268;888;765;236;72;6367;1100205004010.0
Rondônia;Área 011;15650;3227;3717;1182;1064;636;174;52;5597;1100205004011.0
Rondônia;Área 012;17987;4441;4773;1274;717;252;76;5;6448;1100205004012.0
Rondônia;Área 013;13248;3354;3168;982;493;410;122;45;4674;1100205004013.0
Rondônia;Área 014;20108;2161;3107;2048;1945;2709;1491;663;5983;1100205004014.0
Rondônia;Área 015;15767;2376;3031;1763;1340;1153;300;231;5572;1100205004015.0
Rondônia;Área 016;12332;1740;2133;878;1327;881;388;286;4698;1100205004016.0
Rondônia;Área 017;12500;1657;2661;1501;1337;1251;435;202;3456;1100205004017.0
Rondônia;Área 018;23656;3798;4843;2191;1739;1917;926;491;7750;1100205004018.0
Rondônia;Área 019;13121;1741;2893;1425;1189;1363;513;304;3693;1100205004019.0
Rondônia;Área 020;17249;4594;3259;722;450;211;79;0;7934;1100205004020.0
Rondônia;Área 021;26056;4749;6065;2674;2292;1570;297;29;8379;1100205004021.0
Rondônia;Área 022;28435;5935;6337;2513;2131;960;262;39;10258;1100205004022.0
Rondônia;Rolim de Moura;42660;14374;9130;2530;2376;1322;362;102;12463;1100288.0
Rondônia;Área 001;17802;6697;3735;782;867;378;103;36;5204;1100288003001.0
Rondônia;Área 002;24858;7677;5395;1748;1510;944;259;66;7259;1100288003002.0
Rondônia;Vilhena;63430;17428;13983;5517;4840;2775;695;428;17764;1100304.0
