Ano;Mês;Dia;Hora;Minuto;Temperatura;Total precipitação (mm);Nebulosidade total (%);Duração do sol (min)
2018;7;14;0;0;16.66;0;0;0
2018;7;14;1;0;16.13;0;0;0
2018;7;14;2;0;15.76;0;0;0
2018;7;14;3;0;15.22;0;0;0
2018;7;14;4;0;14.68;0;100;0
2018;7;14;5;0;14.2;0;100;0
2018;7;14;6;0;13.8;0;0;0
2018;7;14;7;0;13.58;0;0;13.09
2018;7;14;8;0;13.96;0;1;59.36
2018;7;14;9;0;15.42;0;0;60
2018;7;14;10;0;18.13;0;0;60
2018;7;14;11;0;20.54;0;0;60
2018;7;14;12;0;22.11;0;0;60
2018;7;14;13;0;22.99;0;0;60
2018;7;14;14;0;23.53;0;0;60
2018;7;14;15;0;23.64;0;0;60
2018;7;14;16;0;23.39;0;0;60
2018;7;14;17;0;22.71;0;0;60
2018;7;14;18;0;21.55;0;0;36.97
2018;7;14;19;0;20.46;0;0;0
2018;7;14;20;0;19.9;0;0;0
2018;7;14;21;0;19.35;0;0;0
2018;7;14;22;0;18.28;0;0;0
2018;7;14;23;0;17.08;0;0;0
2018;7;15;0;0;15.99;0;0;0
2018;7;15;1;0;15.23;0;0;0
2018;7;15;2;0;14.82;0;0;0
2018;7;15;3;0;14.61;0;0;0
2018;7;15;4;0;14.4;0;0;0
2018;7;15;5;0;14.28;0;0;0
2018;7;15;6;0;14.46;0;0;0
2018;7;15;7;0;14.36;0;0;13.29
2018;7;15;8;0;14.98;0;0;60
2018;7;15;9;0;17.7;0;0;60
2018;7;15;10;0;20.91;0;0;60
2018;7;15;11;0;23.42;0;0;60
2018;7;15;12;0;24.71;0;0;60
2018;7;15;13;0;25.34;0;0;60
2018;7;15;14;0;25.73;0;0;60
2018;7;15;15;0;25.82;0;0;60
2018;7;15;16;0;25.6;0;0;60
2018;7;15;17;0;24.89;0;0;60
2018;7;15;18;0;24.46;0;0;37.39
2018;7;15;19;0;23.92;0;0;0
2018;7;15;20;0;22.94;0;0;0
2018;7;15;21;0;21.87;0;0;0
2018;7;15;22;0;20.79;0;0;0
2018;7;15;23;0;19.62;0;2.4;0
2018;7;16;0;0;18.7;0;6;0
2018;7;16;1;0;18.37;0;5.4;0
2018;7;16;2;0;18.11;0;2.4;0
2018;7;16;3;0;18.07;0;0.3;0
2018;7;16;4;0;18.15;0;0;0
2018;7;16;5;0;17.92;0;0;0
2018;7;16;6;0;17.77;0;0;0
2018;7;16;7;0;17.35;0;0;13.51
2018;7;16;8;0;16.81;0;0;60
2018;7;16;9;0;18.23;0;0;60
2018;7;16;10;0;21.79;0;0;60
2018;7;16;11;0;24.05;0;0;60
2018;7;16;12;0;25.39;0;0;60
2018;7;16;13;0;26.12;0;0;60
2018;7;16;14;0;26.62;0;0;60
2018;7;16;15;0;26.75;0;0;60
2018;7;16;16;0;26.49;0;0;60
