Campus;Curso;2012;2013;2014;2015;2016
SA;Bacharelado em Ciência e Tecnologia (Matutino);2405;2430;2471;2794;2614
SA;Bacharelado em Ciência e Tecnologia (Noturno);2620;2732;2612;3092;2884
SA;Pós Bacharelado Interdisciplinar - BC&T (Matutino);251;821;914;894;824
SA;Pós Bacharelado Interdisciplinar - BC&T (Noturno);560;590;1646;1607;1460
SBC;Bacharelado em Ciências e Humanidades (Matutino);360;500;621;772;776
SBC;Bacharelado em Ciências e Humanidades (Noturno);342;473;618;840;925
SBC;Bacharelado em Ciência e Tecnologia (Matutino);372;519;649;811;847
SBC;Bacharelado em Ciência e Tecnologia (Noturno);367;516;643;857;923
SBC;Pós Bacharelado Interdisciplinar - BC&H (Matutino);;;23;131;176
SBC;Pós Bacharelado Interdisciplinar - BC&H (Noturno);;3;33;208;259
SBC;Pós Bacharelado Interdisciplinar - BC&T (Matutino);;3;61;411;673
SBC;Pós Bacharelado Interdisciplinar - BC&T (Noturno);;5;104;618;565
