Estado;Município;Total domicílios;Água em pelo menos um cômodo;Água no terreno ou propriedade;Não tinham
Rondônia;Ariquemes;27190;23681;1267;2242
Rondônia;Área 001;5250;4552;317;380
Rondônia;Área 002;5129;4241;415;473
Rondônia;Área 003;8212;7381;283;549
Rondônia;Área 004;8600;7507;253;840
Rondônia;Buritis;9507;8031;362;1114
Rondônia;Área 001;5400;4755;93;551
Rondônia;Área 002;4107;3276;268;563
Rondônia;Cacoal;24196;23602;188;407
Rondônia;Área 001;4189;3865;119;204
Rondônia;Área 002;6203;6041;40;122
Rondônia;Área 003;6602;6592;0;10
Rondônia;Área 004;7202;7103;28;70
Rondônia;Guajará-Mirim;10663;6159;727;3777
Rondônia;Área 001;4439;3217;209;1013
Rondônia;Área 002;6224;2942;518;2764
Rondônia;Jaru;15898;13479;116;2303
Rondônia;Área 001;6215;5457;32;725
Rondônia;Área 002;9683;8022;84;1578
Rondônia;Ji-Paraná;35612;32576;1454;1582
Rondônia;Área 001;4047;3512;196;340
Rondônia;Área 002;4669;4383;48;238
Rondônia;Área 003;4845;4760;17;68
Rondônia;Área 004;4868;4101;503;264
Rondônia;Área 005;7358;6390;470;498
Rondônia;Área 006;9825;9430;221;174
Rondônia;Machadinho D'Oeste;9170;7319;173;1678
Rondônia;Área 001;4947;4548;85;314
Rondônia;Área 002;4223;2771;88;1364
Rondônia;Ouro Preto do Oeste;11650;10975;324;351
Rondônia;Área 001;4356;4172;103;81
Rondônia;Área 002;7294;6803;221;270
Rondônia;Pimenta Bueno;10047;9237;429;380
Rondônia;Área 001;4535;4175;272;87
Rondônia;Área 002;5512;5062;157;293
Rondônia;Porto Velho;119578;89484;5775;24319
Rondônia;Área 001;4241;2034;370;1837
Rondônia;Área 002;4573;2826;332;1415
Rondônia;Área 003;7373;4917;188;2269
Rondônia;Área 004;4830;3893;123;814
Rondônia;Área 005;4903;4000;348;555
Rondônia;Área 006;4398;3538;174;685
Rondônia;Área 007;4579;4305;83;192
Rondônia;Área 008;4821;3199;166;1456
Rondônia;Área 009;4217;3598;115;503
Rondônia;Área 010;4446;3913;119;414
Rondônia;Área 011;5105;4124;375;606
Rondônia;Área 012;5987;2286;223;3478
Rondônia;Área 013;4413;3482;475;456
Rondônia;Área 014;6927;6284;235;408
Rondônia;Área 015;5495;4618;280;598
Rondônia;Área 016;4443;4212;110;121
Rondônia;Área 017;4346;4224;42;80
Rondônia;Área 018;7571;5821;352;1398
Rondônia;Área 019;4313;3950;185;178
Rondônia;Área 020;4595;2030;448;2117
Rondônia;Área 021;8518;5070;770;2677
Rondônia;Área 022;9484;7158;263;2064
Rondônia;Rolim de Moura;15836;15084;129;624
Rondônia;Área 001;6606;6276;84;246
Rondônia;Área 002;9230;8807;45;378
