Estado;Município;Total pessoas > 10 anos;Sem instrução e fundamental incompleto;Fundamental completo e médio incompleto;Médio completo e superior incompleto;Superior completo;Não determinado;Código da Unidade Geográfica
Rondônia;Ariquemes;74725;40351;12630;16799;4275;671;1100023.0
Rondônia;Área 001;14216;5191;2159;4394;2093;379;1100023003001.0
Rondônia;Área 002;14049;8956;2127;2429;477;60;1100023003002.0
Rondônia;Área 003;22833;14392;3998;3799;490;155;1100023003003.0
Rondônia;Área 004;23627;11812;4347;6177;1214;77;1100023003004.0
Rondônia;Buritis;26103;17825;3913;3568;728;68;1100452.0
Rondônia;Área 001;14644;9327;2252;2438;576;51;1100452003001.0
Rondônia;Área 002;11459;8498;1661;1130;153;18;1100452003002.0
Rondônia;Cacoal;66376;36674;12244;12943;4090;425;1100049.0
Rondônia;Área 001;12053;9287;1920;651;68;126;1100049003001.0
Rondônia;Área 002;16957;10678;3095;2610;417;156;1100049003002.0
Rondônia;Área 003;17864;7397;3245;5130;1961;132;1100049003003.0
Rondônia;Área 004;19503;9312;3984;4552;1644;10;1100049003004.0
Rondônia;Guajará-Mirim;33017;19374;5749;6233;1504;158;1100106.0
Rondônia;Área 001;13024;6123;2283;3505;1062;51;1100106003001.0
Rondônia;Área 002;19993;13250;3466;2728;442;107;1100106003002.0
Rondônia;Jaru;43210;26209;6725;7509;2193;574;1100114.0
Rondônia;Área 001;17152;11260;2670;2402;576;245;1100114003001.0
Rondônia;Área 002;26058;14949;4056;5107;1617;330;1100114003002.0
Rondônia;Ji-Paraná;97571;50280;17428;23179;5966;719;1100122.0
Rondônia;Área 001;10942;4821;1975;2688;1311;147;1100122003001.0
Rondônia;Área 002;12624;5715;2667;3273;886;83;1100122003002.0
Rondônia;Área 003;13094;6604;2392;3355;637;107;1100122003003.0
Rondônia;Área 004;13398;8311;2363;2323;356;45;1100122003004.0
Rondônia;Área 005;20742;13396;3477;3351;449;69;1100122003005.0
Rondônia;Área 006;26771;11433;4554;8189;2328;267;1100122003006.0
Rondônia;Machadinho D'Oeste;25126;17965;3499;2747;667;247;1100130.0
Rondônia;Área 001;13169;8381;2084;2105;527;70;1100130003001.0
Rondônia;Área 002;11957;9584;1415;641;140;177;1100130003002.0
Rondônia;Ouro Preto do Oeste;31910;19486;5226;5571;1460;166;1100155.0
Rondônia;Área 001;11970;7229;2002;2176;481;82;1100155003001.0
Rondônia;Área 002;19940;12257;3224;3396;979;84;1100155003002.0
Rondônia;Pimenta Bueno;28322;15517;4875;5940;1592;398;1100189.0
Rondônia;Área 001;12777;6269;2047;3150;1048;262;1100189003001.0
Rondônia;Área 002;15546;9248;2828;2790;543;137;1100189003002.0
Rondônia;Porto Velho;356826;162564;61084;99657;30496;3025;1100205.0
Rondônia;Área 001;13125;6771;2636;3293;317;108;1100205004001.0
Rondônia;Área 002;12340;8606;1836;1517;311;70;1100205004002.0
Rondônia;Área 003;16401;10833;2678;2611;244;35;1100205004003.0
Rondônia;Área 004;14620;6960;2491;4114;902;152;1100205004004.0
Rondônia;Área 005;14998;6566;2855;4778;740;59;1100205004005.0
Rondônia;Área 006;13672;6686;3225;3182;532;47;1100205004006.0
Rondônia;Área 007;14154;4119;2158;5678;2166;32;1100205004007.0
Rondônia;Área 008;14704;7685;2570;3933;456;60;1100205004008.0
Rondônia;Área 009;12969;4428;2130;4359;1792;259;1100205004009.0
Rondônia;Área 010;13735;5852;2547;3962;1068;306;1100205004010.0
Rondônia;Área 011;15650;7334;2528;4361;1068;359;1100205004011.0
Rondônia;Área 012;17987;10604;3160;3793;299;132;1100205004012.0
Rondônia;Área 013;13248;7212;2318;3184;484;50;1100205004013.0
Rondônia;Área 014;20108;4827;3462;6798;4965;57;1100205004014.0
Rondônia;Área 015;15767;5641;2572;5402;2083;70;1100205004015.0
Rondônia;Área 016;12332;4446;1918;4312;1585;71;1100205004016.0
Rondônia;Área 017;12500;3861;1971;4687;1848;132;1100205004017.0
Rondônia;Área 018;23656;8854;3692;7039;3691;379;1100205004018.0
Rondônia;Área 019;13121;4162;1871;4357;2667;63;1100205004019.0
Rondônia;Área 020;17249;13149;2795;1006;244;55;1100205004020.0
Rondônia;Área 021;26056;9897;4998;9008;1858;293;1100205004021.0
Rondônia;Área 022;28435;14069;4673;8282;1176;235;1100205004022.0
Rondônia;Rolim de Moura;42660;24187;7079;8698;2560;135;1100288.0
